Query,Expected Category
Your pricing is too high. ASAP.,Complaints & Feedback
I am getting an error code 404. Please help.,Technical Support
Why was I charged an extra fee? ASAP.,Billing & Payments
My sync is not working across devices. ASAP.,Technical Support
My username is already taken.,Account & Password
The delivery was delayed by a week. Thanks.,Complaints & Feedback
I want to speak to a manager. Can someone assist?,Complaints & Feedback
The website is down. Can someone assist?,Technical Support
What is your return policy? Can someone assist?,Refund & Returns
The agent was rude to me. ASAP.,Complaints & Feedback
How do I reset my security questions?,Account & Password
The product quality is very poor.,Complaints & Feedback
How do I cancel my subscription?,Billing & Payments
I was sent the wrong product. ASAP.,Refund & Returns
My credit card was charged twice.,Billing & Payments
I am very disappointed with the service.,Complaints & Feedback
The agent was rude to me. Can someone assist?,Complaints & Feedback
My credit card was charged twice. Thanks.,Billing & Payments
My item arrived damaged. Can someone assist?,Refund & Returns
I haven't received my refund yet. Please help.,Refund & Returns
I want to change my display name. Please help.,Account & Password
How do I clear the cache? Can someone assist?,Technical Support
I haven't received my refund yet.,Refund & Returns
How do I pay my bill? Can someone assist?,Billing & Payments
How long does a refund take? Thanks.,Refund & Returns
I forgot my password. Thanks.,Account & Password
I didn't receive the verification email. Thanks.,Account & Password
My item arrived damaged. Thanks.,Refund & Returns
I want to change my display name.,Account & Password
I need a receipt for my last transaction. Thanks.,Billing & Payments
What is your return policy?,Refund & Returns
How long does a refund take? Thanks.,Refund & Returns
I want to cancel my order before it ships. ASAP.,Refund & Returns
I love your new feature! ASAP.,Complaints & Feedback
How do I pay my bill? Please help.,Billing & Payments
My item arrived damaged. Can someone assist?,Refund & Returns
The video won't load on my screen. Thanks.,Technical Support
How do I change my email address?,Account & Password
Can I merge two accounts? Please help.,Account & Password
The product quality is very poor.,Complaints & Feedback
The agent was rude to me. Can someone assist?,Complaints & Feedback
The delivery was delayed by a week. ASAP.,Complaints & Feedback
I need to enable two-factor authentication. Please help.,Account & Password
The integration with Salesforce is broken. Please help.,Technical Support
I love your new feature! Thanks.,Complaints & Feedback
My credit card was charged twice. Please help.,Billing & Payments
Your pricing is too high. ASAP.,Complaints & Feedback
The product quality is very poor.,Complaints & Feedback
Your pricing is too high.,Complaints & Feedback
I was sent the wrong product. ASAP.,Refund & Returns
How do I clear the cache? Can someone assist?,Technical Support
You should add a dark mode. ASAP.,Complaints & Feedback
The agent was rude to me. Please help.,Complaints & Feedback
My item arrived damaged. Please help.,Refund & Returns
The agent was rude to me.,Complaints & Feedback
The video won't load on my screen. Please help.,Technical Support
How do I install the latest update? Please help.,Technical Support
I want to change my display name. ASAP.,Account & Password
How long does a refund take? ASAP.,Refund & Returns
I want to cancel my order before it ships. Thanks.,Refund & Returns
My payment is failing.,Billing & Payments
My credit card was charged twice. ASAP.,Billing & Payments
My username is already taken. Please help.,Account & Password
I cannot connect to the server. Can someone assist?,Technical Support
I waited on hold for an hour. Thanks.,Complaints & Feedback
How do I reset my security questions? Please help.,Account & Password
I haven't received my refund yet.,Refund & Returns
I need a receipt for my last transaction. Can someone assist?,Billing & Payments
The agent was rude to me.,Complaints & Feedback
Can I update my payment method? Can someone assist?,Billing & Payments
I was sent the wrong product. Can someone assist?,Refund & Returns
I am very disappointed with the service. Thanks.,Complaints & Feedback
Do I have to pay for return shipping? ASAP.,Refund & Returns
The website is down. ASAP.,Technical Support
I am very disappointed with the service. Thanks.,Complaints & Feedback
The video won't load on my screen.,Technical Support
My account is locked. Please help.,Account & Password
How do I change my email address?,Account & Password
I want to return my purchase.,Refund & Returns
My sync is not working across devices.,Technical Support
My payment is failing.,Billing & Payments
I need help configuring my API keys.,Technical Support
I need to enable two-factor authentication. Can someone assist?,Account & Password
I want to cancel my order before it ships. Can someone assist?,Refund & Returns
Do I have to pay for return shipping? ASAP.,Refund & Returns
I want to return my purchase. Please help.,Refund & Returns
How do I clear the cache? Please help.,Technical Support
Can I merge two accounts? Please help.,Account & Password
What is your return policy? ASAP.,Refund & Returns
My payment is failing. Can someone assist?,Billing & Payments
How do I reset my security questions?,Account & Password
Do I have to pay for return shipping? ASAP.,Refund & Returns
How do I delete my profile? Thanks.,Account & Password
I need a receipt for my last transaction.,Billing & Payments
I am getting an error code 404. Can someone assist?,Technical Support
The integration with Salesforce is broken.,Technical Support
I waited on hold for an hour. ASAP.,Complaints & Feedback
I want to return my purchase. Can someone assist?,Refund & Returns
I cannot connect to the server. Please help.,Technical Support
I want to speak to a manager.,Complaints & Feedback
